x	qx	lx
0	0.002311	100000
1	0.000906	99769
2	0.000504	99679
3	0.000408	99628
4	0.000357	99588
5	0.000324	99552
6	0.000301	99520
7	0.000286	99490
8	0.000328	99461
9	0.000362	99429
10	0.00039	99393
11	0.000413	99354
12	0.000431	99313
13	0.000446	99270
14	0.000458	99226
15	0.00047	99180
16	0.000481	99134
17	0.000495	99086
18	0.00051	99037
19	0.000528	98987
20	0.000549	98934
21	0.000573	98880
22	0.000599	98823
23	0.000627	98764
24	0.000657	98702
25	0.000686	98637
26	0.000714	98570
27	0.000738	98499
28	0.000758	98427
29	0.000774	98352
30	0.000784	98276
31	0.000789	98199
32	0.000789	98121
33	0.00079	98044
34	0.000791	97967
35	0.000792	97889
36	0.000794	97812
37	0.000823	97734
38	0.000872	97653
39	0.000945	97568
40	0.001043	97476
41	0.001168	97374
42	0.001322	97261
43	0.001505	97132
44	0.001715	96986
45	0.001948	96820
46	0.002198	96631
47	0.002463	96419
48	0.00274	96181
49	0.003028	95918
50	0.00333	95627
51	0.003647	95309
52	0.00398	94961
53	0.004331	94583
54	0.004698	94174
55	0.005077	93731
56	0.005465	93255
57	0.005861	92746
58	0.006265	92202
59	0.006694	91624
60	0.00717	91011
61	0.007714	90358
62	0.008348	89661
63	0.009093	88913
64	0.009968	88104
65	0.010993	87226
66	0.012188	86267
67	0.013572	85216
68	0.01516	84059
69	0.016946	82785
70	0.01892	81382
71	0.021071	79842
72	0.023388	78160
73	0.025871	76332
74	0.028552	74357
75	0.031477	72234
76	0.034686	69960
77	0.038225	67534
78	0.042132	64952
79	0.046427	62216
80	0.051128	59327
81	0.05625	56294
82	0.061809	53127
83	0.067826	49844
84	0.074322	46463
85	0.081326	43010
86	0.088863	39512
87	0.096958	36001
88	0.105631	32510
89	0.114858	29076
90	0.124612	25737
91	0.134861	22529
92	0.145575	19491
93	0.156727	16654
94	0.16829	14044
95	0.180245	11680
96	0.192565	9575
97	0.205229	7731
98	0.218683	6144
99	0.233371	4801
100	0.249741	3680
101	0.268237	2761
102	0.289305	2021
103	0.313391	1436
104	0.34094	986
105	0.372398	650
106	0.40821	408
107	0.448823	241
108	0.494681	133
109	0.546231	67
110	0.603917	31
111	0.668186	12
112	0.739483	4
113	0.818254	1
114	0.904945	0
115	1	0
